1,Հրազդան,30/06/1959,Կոտայք,Հրազդան,44:45:50,40:29:45,11-38-126-4-1,07.001.,1.2.03.,001,Hrazdan,Раздан,11/09/2006
2,Աբովյան,12/10/1961,Կոտայք,Աբովյան,44:38:00,40:16:25,11-38-138-1-2,07.002.,1.2.03.,001,Abovyan,Абовян,11/09/2006
3,Բյուրեղավան,,Կոտայք,Բյուրեղավան,44:35:50,40:17:50,11-38-138-1-1,07.003.,1.2.03.,001,Byureghavan,Бюрехаван,11/09/2006
4,Եղվարդ,,Կոտայք,Եղվարդ,44:29:10,40:19:30,11-38-137-2-2,07.004.,1.2.03.,001,Yeghvard,Ехвард,11/09/2006
5,Ծաղկաձոր,,Կոտայք,Ծաղկաձոր,44:43:20,40:32:00,11-38-126-1-4,07.005.,1.2.03.,001,Tsaghkadzor,Цахкадзор,11/09/2006
6,Նոր Հաճն,04/11/1958,Կոտայք,Նոր Հաճն,44:35:00,40:18:00,11-38-138-1-1,07.006.,1.2.03.,001,Nor Hachn,Нор Ачин,11/09/2006
7,Չարենցավան,23/09/1967,Կոտայք,Չարենցավան,44:38:40,40:24:10,11-38-126-3-4,07.007.,1.2.03.,001,Charentsavan,Чаренцаван,11/09/2006
8,Ալափարս,,Կոտայք,Ալափարս,44:38:00,40:25:20,11-38-126-3-2,07.008.,1.2.02.,001,Alapars,Алапарс,11/09/2006
9,Ակունք,04/04/1946,Կոտայք,Ակունք,44:41:10,40:16:00,11-38-138-1-2,07.009.,1.2.02.,001,Akunq,Акунк,11/09/2006
10,Աղավնաձոր,15/07/1948,Կոտայք,Աղավնաձոր,44:41:50,40:35:00,11-38-126-1-4,07.010.,1.2.02.,001,Aghavnadzor,Ахавнадзор,11/09/2006
11,Առինջ,,Կոտայք,Առինջ,44:34:20,40:13:50,11-38-138-1-3,07.011.,1.2.02.,001,Arinj,Ариндж,11/09/2006
12,Արագյուղ,04/04/1946,Կոտայք,Արագյուղ,44:32:40,40:24:10,11-38-126-3-3,07.012.,1.2.02.,001,Aragyugh,Арагюх,11/09/2006
13,Արամուս,,Կոտայք,Արամուս,44:39:50,40:14:50,11-38-138-1-4,07.013.,1.2.02.,001,Aramus,Арамус,11/09/2006
14,Արգել,03/04/1991,Կոտայք,Արգել,44:36:00,40:22:40,11-38-126-3-3,07.014.,1.2.02.,001,Argel,Аргел,11/09/2006
15,Արզական,,Կոտայք,Արզական,,40:27:00,11-38-126-3-1,07.015.,1.2.02.,001,Arzakan,Арзакан,11/09/2006
16,Արզնի,,Կոտայք,Արզնի,44:35:55,40:17:50,11-38-138-1-1,07.016.,1.2.02.,001,Arzni,Арзни,11/09/2006
17,Արտավազ,03/04/1991,Կոտայք,Արտավազ,44:34:20,40:37:00,11-38-126-1-1,07.017.,1.2.02.,001,Artavaz,Артаваз,11/09/2006
18,Բալահովիտ,26/12/1968,Կոտայք,Բալահովիտ,44:36:30,40:15:05,11-38-138-1-1,07.018.,1.2.02.,001,Balahovit,Балаовит,11/09/2006
19,Բջնի,,Կոտայք,Բջնի,44:39:00,40:27:30,11-38-126-3-2,07.019.,1.2.02.,001,Bjni,Бжни,11/09/2006
20,Բուժական,,Կոտայք,Բուժական,44:31:10,40:27:20,11-38-126-3-1,07.020.,1.2.02.,001,Buzhakan,Бужакан,11/09/2006
21,Գառնի,03/01/1935,Կոտայք,Գառնի,44:44:05,40:07:10,11-38-138-3-2,07.021.,1.2.02.,001,Garni,Гарни,11/09/2006
22,Գեղադիր,03/01/1935,Կոտայք,Գեղադիր,44:39:10,40:09:20,11-38-138-3-2,07.022.,1.2.02.,001,Geghadir,Гехадир,11/09/2006
23,Գեղաշեն,21/10/1967,Կոտայք,Գեղաշեն,44:43:40,40:13:40,11-38-138-1-4,07.023.,1.2.02.,001,Geghashen,Гехашен,11/09/2006
24,Գեղարդ,,Կոտայք,Գեղարդ,44:47:50,40:09:20,11-38-138-4-1,07.024.,1.2.02.,001,Geghard,Гехард,11/09/2006
25,Գետամեջ,21/06/1948,Կոտայք,Գետամեջ,44:35:20,40:16:30,11-38-138-1-1,07.025.,1.2.02.,001,Getamej,Гетамеч,11/09/2006
26,Գողթ,,Կոտայք,Գողթ,44:47:00,40:08:05,11-38-138-4-1,07.026.,1.2.02.,001,Goghth,Гохт,11/09/2006
27,Զառ,,Կոտայք,Զառ,44:44:40,40:15:30,11-38-138-1-2,07.027.,1.2.02.,001,Zar,Зар,11/09/2006
28,Զովաշեն,21/06/1948,Կոտայք,Զովաշեն,44:44:50,40:18:40,11-38-138-1-2,07.028.,1.2.02.,001,Zovashen,Зовашен,11/09/2006
29,Զովունի,04/04/1972,Կոտայք,Զովունի,44:30:20,40:14:10,11-38-138-1-3,07.029.,1.2.02.,001,Zovuni,Зовуни,11/09/2006
30,Զովք,25/01/1978,Կոտայք,Զովք,44:41:45,40:12:25,11-38-138-1-4,07.030.,1.2.02.,001,Zovq,Зовк,11/09/2006
31,Զորավան,,Կոտայք,Զորավան,44:31:20,40:21:20,11-38-126-3-3,07.031.,1.2.02.,001,Zoravan,Зораван,11/09/2006
